The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.testing.arquillian.ReplaceArquillianInSequenceAnnotation,10,9,0,0,232040,77075
org.openrewrite.java.spring.boot2.MigrateDatabaseCredentialsForToolProperties,10,9,0,0,4377214,1313772
org.openrewrite.java.spring.boot2.SpringBootProperties_2_0,10,9,32497,4271,33221,7600
org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise,10,9,7400,1704,19623,3390
org.openrewrite.java.migrate.jakarta.JakartaFacesEcmaScript,10,9,13947,2016,61777,7758
org.openrewrite.java.ChangeMethodAccessLevel,10,9,0,0,106833,7908
org.openrewrite.java.spring.boot2.MaybeAddSpringBootStarterActuator,10,9,58194,9231,37089,5971
org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_3_0,10,9,16414,7329,18082,1791
org.openrewrite.java.spring.framework.MigrateInstantiationAwareBeanPostProcessorAdapter,10,9,0,0,117811,9566
org.openrewrite.java.testing.mockito.ReplacePowerMockito,10,9,79938,10256,104439,10863
org.openrewrite.java.ReplaceConstantWithAnotherConstant,10,9,0,0,1195375,54390
org.openrewrite.java.spring.boot2.MigrateSpringBootServletInitializerPackageName,10,9,64043,37617,61820,7526
org.openrewrite.java.migrate.jakarta.JakartaFacesConfigXml4,10,9,9015,1630,26504,3528
org.openrewrite.java.testing.junit5.ExpectedExceptionToAssertThrows,10,9,0,0,76772,7290
org.openrewrite.java.spring.security5.RenameNimbusdsJsonObjectPackageName,10,9,16195,6597,29390,4815
org.openrewrite.java.testing.junit5.UpdateTestAnnotation,10,9,0,0,711803309,646178901
org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderTimeoutByInt,10,9,0,0,187060,23693
org.openrewrite.github.SetupJavaUpgradeJavaVersion,10,9,0,0,61347,7164
org.openrewrite.java.spring.boot2.SpringBootProperties_2_4,10,9,31804,7160,41792,5204
org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization,10,9,8305,1643,20512,3829
org.openrewrite.java.ChangeAnnotationAttributeName,10,9,0,0,802924,15392
org.openrewrite.java.spring.boot2.SpringBootProperties_2_3,10,9,18073,5137,83472,36560
org.openrewrite.staticanalysis.InstanceOfPatternMatch,10,9,0,0,3793712,671623
org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean,10,9,7698,826,26078,5231
org.openrewrite.java.spring.boot2.SpringBootProperties_2_2,10,9,18131,6505,63463,11436
org.openrewrite.java.spring.framework.BeanMethodReturnNull,10,9,0,0,76344,7919
org.openrewrite.java.spring.boot2.SpringBootProperties_2_1,10,9,13868,2717,66256,9597
org.openrewrite.apache.httpclient5.MigrateStringEntityStringCharsetConstructor,10,9,0,0,246344,56778
org.openrewrite.java.spring.boot2.SpringBootProperties_2_7,10,9,23775,5834,70117,10638
